Apartment,Cost,CostHigh,Residents,Miles2Campus,WalkMinutes,ParkingStalls,Deposit,UtilityDeposit,FloorPlans,Gender,Latitude,Longitude,Address,Phone,Website,Description
HERITAGE MEN,1189,1189,180,0.310686368,6,0,150,0,1,M,43.817232,-111.787433,129 W 4TH S,208-356-7952,HeritageRexburg.com,"Early bird price is as much as $50 off so don't wait, plus we fill fast! Hands down best location across the street from campus and the BYU-Idaho Center. Newly renovated with new appliances, cabinetry and a washer & dryer.  At Heritage youêll find very affordable pricing, a huge clubhouse with a full kitchen, a piano room, WiFI internet, and 2 fitness rooms featuring state of the art equipment."
HERITAGE WOMEN,1259,1259,192,0.372823642,7,145,150,0,1,F,43.8177064,-111.7881413,129 W 4TH S,208-356-7952,HeritageRexburg.com,"Early bird price is as much as $70 off so don't wait, plus we fill fast! Hands down best location across the street from campus and the BYU-Idaho Center. Newly renovated with new appliances, cabinetry and a washer & dryer.  At Heritage youêll find very affordable pricing, a huge clubhouse with a full kitchen, a piano room, WiFI internet, and 2 fitness rooms featuring state of the art equipment."
HILLCREST TOWNHOUSES,1125,1245,140,0.248549095,4,60,100,0,3,F,43.8163212,-111.7780659,465 S 2ND E,356-7211,hillcrestinrexburg.com,Hillcrest is a GREAT place to live! The townhouse style apartments make you feel as if you are right at home. We are newly remodeled and have private and shared rooms. All townhouses occupy only four tenants to each townhouse making plenty of room for all! Come in and take a tour! We would love to have you.  
HILL'S COLLEGE AVE APTS,880,880,11,0.310686368,6,3,70,0,1,F,43.822994,-111.782747,136 COLLEGE AVE,208-356-5786 or,,"If you are looking for a social house, this is the one! Hills Apt. feels like you are living at home. There is a fireplace, spacious living room, huge dining room, roomy kitchen with two ovens and two fridges, with plenty of storage space and then some. There are two bathrooms, a standing shower,and tub with shower. A washer and dryer is provided and free! As well as utilities! Come take a look!  "
"IVY, THE - Men",1267.5,1330,264,0.124274547,3,50,100,0,3,M,43.812377,-111.789553,649 S 2ND W,208-356-6556,theivyapartments.com,"Our 1,430 sq. feet apartments are located near campus and feature a full size washer and dryer in each apartment.  The apartments are complete with two full bathrooms, three bedrooms, and several storage areas.  Amenities include TWO FREE SHUTTLES to and from campus, large fitness center with dance and aerobic floor, two large lounges with kitchens and several study rooms."
"IVY, THE - Women",1267.5,1330,636,0.124274547,3,100,100,0,3,F,43.812377,-111.789553,649 S 2ND W,(208) 356-6556,theivyapartments.com,"Our 1,430 sq. feet apartments are located near campus and feature a full size washer and dryer in each apartment.  The apartments are complete with two full bathrooms, three bedrooms, and several storage areas.  Amenities include TWO FREE SHUTTLES to and from campus, large fitness center with dance and aerobic floor, two large lounges with kitchens and several study rooms."
JACOB'S HOUSE,1120,1120,11,0.186411821,5,50,125,0,1,M,43.822228,-111.779221,149 E 2ND S,208-356-3001,www.bestnesthousing.com,"Jacob's House is a large, remodeled home located close to campus. The manager's office is located within the Greenbrier complex behind Jacob's House. Some amenities are coinless washers and dryers in the home, large floor plan, 4 study rooms, cable,wireless internet,and an amazing kitchen! We offer discounts for RM'S of $50.00 Parking is free!"
JORDAN RIDGE,1374,1399,360,0.434960916,8,350,150,0,3,M,43.8120309,-111.7758519,291 E 7TH S ,208-359-2221,www.meet-me-at-the-ridge.com,"College is about students defining their future. We want to create a living environment that empowers student to do just that. We want to provide a framework for your future. *ALL PRIVATE BEDROOMS* All inclusive: Free laundry IN THE APARTMENTS(for select apartments only, first come first serve),parking, cable, internet, DVR, flat screen TV. Fitness center, hot tub, BBQ & more. BEST view in town!"
KENSINGTON MANOR - MEN,1095,1095,108,0.062137274,1,103,100,0,1,M,43.8187924,-111.7780591,345 S 2ND E,208.356.4473,www.kensingtonmanorrexburg.com,"Make yourself at home at the Kensington Manor Apartments, located across the street from campus and can be seen from the BYU-I bookstore. Choose from three different layouts including our new, larger apartments.""I would pick living at Kensington Manor over any other apartment complex! Wonderful Manager, terrific location, nice rooms and the best ward on campus!” _Susie            "
KENSINGTON MANOR - WOMEN,1224,1249,108,0.062137274,1,103,100,0,3,F,43.8187924,-111.7780591,345 S 2ND E,208.356.4473,www.kensingtonmanorrexburg.com,"Make yourself at home at the Kensington Manor Apartments, located across the street from campus and can be seen from the BYU-I bookstore. Choose from three different layouts including our new, larger apartments.""I would pick living at Kensington Manor over any other apartment complex! Wonderful Manager, terrific location, nice rooms and the best ward on campus!” _Susie            "
LA JOLLA - MEN,1189,1189,72,0.186411821,4,200,150,0,1,M,43.8246842,-111.7866669,65 S 1ST W,(208) 359-1985,www.LaJollaRexburg.com,"La Jolla is a mixed gender complex conveniently located one block north of campus.  It is close to campus, grocery stores, job opportunities on main street Rexburg, and is right next to Little Caesars Pizza!  Youêll find an outdoor BBQ grill, clubhouse, fiber optic internet, and state of the art fitness equipment."
LA JOLLA - WOMEN,1129,1129,234,0.186411821,4,200,150,0,1,F,43.8246842,-111.7866669,65 S 1ST W,(208) 359-1985,www.LaJollaRexburg.com,"La Jolla is a mixed gender complex conveniently located one block north of campus.  It is close to campus, grocery stores, job opportunities on main street Rexburg, and is right next to Little Caesars Pizza!  Youêll find an outdoor BBQ grill, clubhouse, fiber optic internet, and state of the art fitness equipment."
LEGACY RIDGE,1374,1399,288,0.248549095,6,288,150,0,3,F,43.812168,-111.778051,667 S 2ND E,359-2211,www.meet-me-at-the-ridge.com,"College is about students defining their future. We want to create a living environment that empowers student to do just that. We want to provide a framework for your future. *ALL PRIVATE BEDROOMS* All inclusive: Free laundry IN THE APARTMENTS(for select apartments only, first come first serve),parking, cable, internet, DVR, flat screen TV. Fitness center, hot tub, BBQ & more. BEST view in town!  "
MOUNTAIN CREST,950,950,42,0.372823642,8,42,110,0,1,M,43.8230786,-111.7924581,132 S 3rd W,(208) 359-4193,www.mntcrestapts.com,"Your Home Away From Home -- With its awesome location, great amenity package and excellent rates, Mountain Crest is the ideal approved housing location for young men.  We are located directly across the street from Porter Park.  Included with our great rates is FREE WASHER AND DRYER IN EACH UNIT, HIGH SPEED INTERNET and free parking . Drop in and check us out.  You won't be disappointed."
MOUNTAIN LOFTS - MEN,1323,1356,474,0.434960916,9,0,100,0,10,M,43.815,-111.791299,538 S 2ND W,208-356-5638,www.mountainloftsatrexburg.com,"Designed with you in mind, we have up to 6 different floor plans to choose from, with a bathroom for each bedroom, a 5 level parking garage connecting every floor, memory foam mattresses, garbage shoots, a washer and dryer in every apartment, and the latest internet with an Optix router for each apartment. https://vimeo.com/155579284"
MOUNTAIN LOFTS - WOMEN,1388,1557,590,0.434960916,9,0,100,0,21,F,43.815,-111.791299,538 S 2ND W,208-356-5638,www.mountainloftsatrexburg.com,"Designed with you in mind, we have up to 6 different floor plans to choose from, with a bathroom for each bedroom, a 5 level parking garage connecting every floor, memory foam mattresses, a washer and dryer in every apartment, and the latest internet with an Optix router for each apartment. https://vimeo.com/155579284"
NAUVOO HOUSE I,1279,1279,288,0.372823642,9,300,0,0,1,M,43.8155931,-111.7888627,175 W 5TH S,356-7756,WWW.NAUVOOHOUSE.COM,"Nauvoo House is a mixed gender complex right next to campus.  At Nauvoo House, you can find the best fitness rooms, clubhouse, basketball area, fiber optic internet, outdoor park and pavilion, BBQ grills and outdoor gas campfire!  Summer contracts only available to Spring 2015 & Fall 2015 tenants."
NAUVOO HOUSE II,1279,1279,338,0.372823642,9,300,0,0,1,F,43.8155931,-111.7888627,175 W 5TH S,356-7756,WWW.NAUVOOHOUSE.COM,"Nauvoo House is a mixed gender complex right next to campus.  At Nauvoo House, you can find the best fitness rooms, clubhouse, basketball court, fiber optic internet, outdoor park and pavilion, BBQ grills and outdoor gas campfire!  Summer contracts only available to Spring 2017 and Fall 2017 current tenants."
NORMANDY APARTMENTS,995,995,40,0.186411821,3,20,75,0,3,F,43.8197996,-111.7871315,114 W 3RD S,208-356-7234,www.normandystudentapartments.com,"Friendly, caring, and delightful students and managers. Very well maintained complex directly across from the Hart Building (Fitness Center) on campus. Basic living at its' best!"
NORTHPOINT - MEN,1537.333333,1669,476,0.062137274,1,508,100,0,36,M,43.822758,-111.78617,141 S 1ST W,208-681-9542,www.NorthPointRexburg.com,"Sign today for $200 off spring 2018 semester!Experience the finest men's housing in Rexburg.  Located directly across from campus with modern, comfortable apartments and amazing amenities.  Sign up on our website or come in for a tour. "
NORTHPOINT - WOMEN,1537.333333,1669,548,0.062137274,1,508,100,0,34,F,43.822758,-111.78617,141 S 1ST W,208-681-9542,www.NorthPointRexburg.com,"Sign today for $200 off spring 2018 semester!Experience the finest men's housing in Rexburg.  Located directly across from campus with modern, comfortable apartments and amazing amenities.  Sign up on our website or come in for a tour. "
PARK VIEW APTS - WOMEN,1050,1100,32,0.310686368,7,0,0,0,10,F,43.8222826,-111.7924522,154 S 3RD W,356-3697,www.parkviewrexburg.com,"Directly across the street from beautiful Porter Park and only two blocks away from campus.  Park View Apartments offers walking distance access for students, while maintaining a home environment feeling.  We offer many different floor plans with a washer and dryer in each unit.  With a great ward, unique settup and fun outdoor space a few steps away, come see if this is the place for you!"
PARK VIEW APTS-MEN,1133.333333,1200,29,0.310686368,7,0,150,0,10,M,43.8222826,-111.7924522,154 S 3RD W,208 356-3697,www.parkviewrexburg.com,"Directly across the street from beautiful Porter Park and only two blocks away from campus, Park View Apartments offers walking distance access for students, while maintaining a home environment feeling.  We offer many different floor plans with a washer and dryer in each unit.  With a great ward, unique settup and fun outdoor space a few steps away, come see if this is the place for you!"
PINCOCK HOUSE,1276,1276,7,0.186411821,4,50,125,0,1,M,43.822094,-111.778896,163 E 2ND S,2083563001,www.bestnesthousing.com/pincock-house.php,"Pincock House is a large, remodeled home located close to campus. The manager's office is located within the Greenbrier complex. Some are our amenities include free washers/dryers in the home, dishwasher, garbage disposal, a large floor plan, cable, and a wireless internet router in each apartment.WE ALSO OFFER A $50 DISCOUNT FOR RETURNED MISSONARIES/MILITARY!"
"PINES NORTH, THE",NA,NA,144,0.062137274,1,0,0,0,6,M,43.8218723,-111.7878656,140 W 2ND S,208-356-5605,pineshousing.com,"Welcome to The Pines! We have renovated apartments with flat screen TVês, high speed internet, spacious kitchens and a separate vanity & bathroom area to give plenty of space. Come relax by the fireplace in our lobby or build your own fire in our outdoor fire pit. Use our exercise room or try out our piano. With onsite laundry, free haircuts, and goodies every Friday, weêre the place to be!"
"PINES SOUTH, THE",975,995,200,0.062137274,1,300,100,0,3,M,43.8218723,-111.7878656,140 W 2ND S,208-356-5605,pineshousing.com,"The Pines is a BYU-I approved men's housing complex. We are located across the street from campus next to the stadium. The Pines is within walking distance to movie theaters, restaurants, shops, and grocery stores. Units are newly remodeled. We have a pool table, fire pit, on site laundry, pianos, and exercise equipment. Bring a friend and get $50 off your rent! Hurry! Only 10 spots left!"
PINNACLE POINT,1046.25,1135,140,0.434960916,9,84,75,0,10,M,43.824505,-111.780339,51 S 1ST E,208-360-2845,rexburgpinnacle.com,"Pinnacle Point is a great new complex that is close to campus and offers 4 and 6 man units. We provide Optix mega-speed Internet, an amazing weight room, theater room, and game room, AC in all the apartments, flat screen TVs with cable, and free laundry. Apartments start at $850 per semester and $350 for the summer session. Office hours are MWF 10-2; and TR 12-4. Call or email us for a tour!"
QUINCY HOUSE,900,900,29,0.248549095,5,20,50,0,10,M,43.8204947,-111.7895635,264 S 2ND W,208-356-7568,www.quincyhouserexburgmenshousing.blogspot.com,"Awesome housing, close to campus, women's housing complexes very close, WIFI is the highest speed across campus housing, we just got NEW desks and NEW couches! AND NEW WASHERS AND DRYERS FOR FREE LAUNDRY for the complex! Every apartment has at least 2 fridges! THE BEST VALUE ON CAMPUS! "
RED BRICK HOUSE,1126,1227,5,0.186411821,4,5,125,0,3,F,43.8197965,-111.7875345,128 W 3RD S,356-4361,www.bestnesthousing.com/red-brick-house.php,"You will feel right at home in Redbrick House! The home has been converted to house 5 women; two rooms are shared, one is private. Each bedroom has a dresser, closet, sink, and vanity. The apartment is also furnished with a washer, dryer, and dishwasher. Stop by the Carriage House Apartments office for a tour, or visit our website for photos and a video tour."
"RED DOOR, THE",972.5,995,53,0.68351001,15,25,100,0,3,M,43.8285259,-111.779619,135 S 1ST E,208-201-3466,reddoorapts.com,"The Red Door has everything you need for a great price!  We have washers/dryers in every apartment.  We have one house that is for 5 men with one private room. It is a great option if you want a change from apartment living. We provide Optix internet, Dish TV and all utilities. We have a fire pit and Clubhouse.  Close to campus (only 1/2 block from campus). Go online and sign a contract today!"
RIVIERA APARTMENTS,NA,NA,100,0.186411821,4,0,0,0,3,F,43.8200969,-111.7809297,277 S 1ST E,3604043,WWW.RIVIERA-APTS.COM,"Ask about our refer-a-friend/group discounts! We also have first time,RM, and New Freshmen Discounts.  Check our Website for Discounts. With our friendly homey atmosphere we're your perfect 'home away from home'. So close to campus, we're almost part of it. We're just steps away from the heart of campus. You can quickly walk anywhere. No hassle finding parking. Come be a part of Riviera!!!"
ROCKLAND APARTMENTS,896.666666,960,238,0.497098189,10,0,75,0,12,M,43.8176975,-111.7906892,235 W 4TH S,(208) 356-0923,www.rexburgHousing.com,"Newly Renovated Fall 2016!! Rockland is a fantastic property with 2-man, 4-man and 6-man units available. We have one of the few indoor heated swimming pools in Rexburg, and a great weight room onsite. Located one block from the BYU-Idaho center at the heart of campus. It just doesn't get any better than this. Reserve your space today!"
"ROOST, THE - MEN",1175,1200,59,0.497098189,12,35,75,0,10,M,43.815739,-111.792608,486 S 3RD W,208-881-6249,rexburgroost.com,"It's time for a fresh start!  Opening Spring of 2017  Call 208-881-6249 or email rexburgroost@gmail.com for more information.  Spots won't last long, so call today!"
"ROOST, THE - WOMEN",1175,1200,114,0.497098189,12,35,75,0,10,F,43.815739,-111.792608,486 S 3RD W,208-881-6249,rexburgroost.com,"It's time for a fresh start!  Opening Spring of 2017  Call 208-881-6249 for more information.  Spots won't last long, so call today!"
ROYAL CREST,995,995,342,0.186411821,4,0,75,0,3,F,43.8191657,-111.7869267,340 S 1ST W,208-356-7778,WWW.ROYALCRESTAPARTMENTS.COM,"If you are looking for affordable, comfortable, social living then Royal Crest is the place for you this semester. With our convenient location in Rexburg, you can be sure to be close to all the community and BYU-Idaho activities. With a serene and casual setting, you`re sure to feel at home with us. "
SHADETREE APARTMENT,915,950,6,0.186411821,4,0,0,175,3,F,43.823957,-111.7855467,60 W 1ST S,208-709-1608,,"Very large living room and kitchen, lots of room for parties and guests! One of the most affordable complexes in Rexburg. Walking distance to campus, dining, and entertainment. Washer and Dryer in the House, Optix Internet, "
SHELBOURNE APARTMENTS,1155,1240,168,0.248549095,6,128,100,0,10,M,43.814119,-111.789569,570 S 2ND W,208-656-0746,www.shelbourneapts.com,"Come home to Shelbourne, HUGE double refrigerators in every unit (most other places are 2 dinky ones). Large living areas and you can have your own private bedroom! Why share? We have Optix high speed internet & big screen HDTV's.  Our students return semester after semester. Stop by to take a tour and see for yourself. You can sure pay more, but you won't get much more. Check out Our DISCOUNTS!"
"SNOWED INN, THE",1150,1150,8,0.248549095,5,0,200,0,1,M,43.8218453,-111.7917922,271 W 2ND S,562-572-2943,www.thesnowedinn.blogspot.com,"Great home with more square footage than an apartment. Free laundry. Free Fast high-speed internet. Free cable. Walking distance to campus, restaurants, ice cream shops, grocery store, and other shopping. Directly across the street from a great park!  A garage for storage plus lots of parking. Lots of recent upgrades. We want to make this a wonderful experience for you and will help you in anyway!"
SNOWVIEW APARTMENTS,1125,1200,64,0.124274547,2,35,100,0,3,F,43.821957,-111.784145,12 W. 2nd S.,(208) 359-5517,www.snowviewapts.com,"Our location is unbeatable! Just a crosswalk away from the heart of campus and walking distance from a grocery store, movie theater, and fun restaurants.These town homes house 4 ladies (That means more fridge space than a 6-person apartment!) and the bedrooms and bathroom are upstairs completely separate from the large living area. SnowView offers free laundry and fresh remodels!"
SOMERSET APARTMENTS - MEN,1110,1110,108,0.372823642,7,70,75,0,1,M,43.8163422,-111.7869059,480 S 1ST W,(208) 356-7699,www.rexburghousing.com,"Somerset is located directly across the street from the heart of BYU-Idaho's campus. With a large parking lot, no extra charge for laundry, and 24-hour maintenance teams we offer top-notch service.  Come see our clubhouse where you can watch your favorite games and shoot pool with your buddies. We also have an onsite weight room, along with all of Rexburg Housing's other fantastic amenities!"
SOMERSET APARTMENTS - WOMEN,1110,1110,180,0.372823642,7,80,75,0,1,F,43.8163422,-111.7869059,480 S 1ST W,(208) 356-7699,www.rexburghousing.com,"Somerset is located directly across the street from the heart of campus. These apartments had a major renovation completed in Fall 2015 for women.  The wards are fantastic and is all contained within Somerset. It is an experience you will love! We have a piano room, weight room, and large lounge where you can spend time with your friends.  Spaces fill up quickly-reserve your spot today!"
SPORI VILLA,895,895,10,0.248549095,5,0,150,0,1,M,43.822269,-111.782776,174 COLLEGE AVE,(208) 351-8072,,"Very convenient to college (across the street) and to downtown (2 blocks). Remodeled home next to N. side of campus.  All utilities included.  Plenty of off street parking for tenants.We limit the occupancy to 9 rather than the approved 10 to provide more living space.Free Laundry. Utilities included.  High speed wireless included.Sunroom, patio, fire-pit, lawn.  "
SUNSET HALL,967,967,14,0.248549095,4,0,125,0,3,F,43.820059,-111.788248,150 W 3RD S,356-4361,www.bestnesthousing.com/sunset-hall.php,"You will feel right at home in Sunset Hall! The remodeled home has been converted to house 14 women (6 upstairs, 8 downstairs). Each floor is furnished with a washer, dryer, and dishwasher. Stop by the Carriage House Apartments office for a tour, or visit our website for photos and a video tour."
TOWERS I,1300,1300,168,0.372823642,8,168,75,0,3,M,43.813151,-111.792518,333 W 6TH S,208-359-5965,thetowersrexburg.com,"Offering more square footage than any other new complex, The Towers Apartments is BYU-Idaho approved student housing for Men. Located close to campus, The Towers offer many amenities, including assigned underground parking, enclosed hallways, washer & dryers in each unit, high speed internet, 42"" TV's, lounge, theatre room, double insulated piano room, and more!"
TOWERS II,1400,1450,248,NA,NA,248,75,0,3,F,NA,NA,335 W 5TH S,208-390-3706,thetowerstwo.com,"Towers Two is the newest premier women's housing at BYUI. Built with you in mind-there is nothing more that you will need! Assigned underground parking,the safety of enclosed hallways,a theater room,a gym,several lounges-providing lots to do! Inside each unit you have the luxury of a washer/dryer,2 fridges,spacious living room,& huge bedrooms. Schedule a tour today to see the beauty for yourself!"
TUSCANY PLACE - MEN,NA,NA,142,0.497098189,9,0,125,0,3,M,43.8170624,-111.7895741,440 S 2ND W,(208) 356-3480,Tuscanyplace.net,Private Bedrooms - In floor heating - Window AC Units - Free Laundry -Plenty of parking- Free Tanning Beds - Exercise Room - Music Room - 1 block from BYU-I Conference Center - 2 blocks from Manwaring Center - You will love Tuscany - your home away from home....
TUSCANY PLACE - WOMEN,1302.5,1315,142,0.497098189,9,0,125,0,3,F,43.8170624,-111.7895741,440 S 2ND W,(208) 356-3480,Tuscanyplace.net,Private Bedrooms - In floor heating - Window AC Units - Free Laundry -Plenty of parking- Free Tanning Beds - Exercise Room - Music Room - 1 block from BYU-I Conference Center - 2 blocks from Manwaring Center - You will love Tuscany - your home away from home....
WEBSTER HOUSE,1125,1215,9,0.124274547,2,14,125,0,6,F,43.820268,-111.7868774,268 S 1ST W,356-4361,www.bestnesthousing.com/webster-house.php,"Converted to house 9 women in 2 separate apartments, the home has 2 kitchens, 2 living rooms, and multiple bathrooms and vanities. Amenities include free washer/dryer, and dishwasher in each kitchen. We offer A/C units in the Spring semester. A/C units are in limited supply; call/email for info on availability and rates."
WEST WINDS,1410,1410,24,0.434960916,9,96,75,0,1,M,43.8156171,-111.7884885,160 W 5TH S,(208) 356-0821,www.rexburghousing.com,"Private rooms! Only 4 students per apartment.  Very well maintained and close to campus!!  We have plenty of parking, a nice lounge, a fantastic ward, and a long list of Rexburg Housing amenities that include 2 swimming pools, theater room, free haircuts, and much more! Spots in West Winds get reserved extremely quickly, so sign up for your own private room NOW!"
WHITFIELD HOUSE,1198,1276,7,0.186411821,4,50,125,0,3,M,43.822083,-111.778657,175 E 2ND S,2083563001,www.bestnesthousing.com/whitfield-house.php,"Whitfield House is a large, remodeled home located close to campus. The manager's office is located within the Greenbrier complex. Some of our amenities include free washers/dryers in the home, dishwasher, garbage disposal, a large floor plan, 2 fridges, cable, and a wireless internet router in each apartment.WE ALSO OFFER A $50 DISCOUNT FOR RETURNED MISSONARIES/MILITARY!"
WINDSOR MANOR-MEN,1560,1585,136,0.186411821,4,66,75,0,6,M,43.81351,-111.786668,125 E 2ND S,208-356-6789,www.windsormanor.net,"Best location!  Across from the Kirkham Auditorium!  Awesome amenities - Gas Fire Pit, 3 BBQ's, Theater Room, Dining Room, Balconies, 3 conference rooms, 11 private study rooms, common area living rooms, gas fireplaces, a GYM and more! Each bedroom has it's own bathroom, each Apt. has 2 refrigerators, a washer/dryer, vacuum, ironing board and iron, USB ports & light switch by your bed!  Come see!!"
WINDSOR MANOR-WOMEN,1585,1585,208,0.310686368,6,100,75,0,8,F,43.822092,-111.78069,125 E 2ND S,208-356-6789,www.windsormanor.net,"Best location!  Across from the Kirkham Auditorium!  Awesome amenities - Gas Fire Pit, 3 BBQ's, Theater Room, Dining Room, Balconies, 3 conference rooms, 11 private study rooms, common area living rooms, gas fireplaces, a GYM and more! Each bedroom has it's own bathroom, each Apt. has 2 refrigerators, a washer/dryer, vacuum, ironing board and iron, USB ports & light switch by your bed!  Come see!!"
